Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-June-2026,154.71,159.04,154.71,157.89,156.989489077780824421,10941,549,1717622.00,7894,72.15,4.33,3.18
22-June-2026,155.85,156.50,155.50,156.19,156.039618336444721012,9642,1605,1504534.00,8313,86.22,1.00,0.34
19-June-2026,154.56,156.44,154.56,155.61,155.383655394524959742,47196,337,7333487.00,37475,79.40,1.88,1.05
18-June-2026,156.56,156.56,154.45,155.80,155.584861407249466950,4690,167,729693.00,3261,69.53,2.11,-0.76
17-June-2026,154.51,156.42,154.15,155.32,155.175584151710125296,5906,270,916467.00,4204,71.18,2.27,0.81
16-June-2026,154.65,155.35,154.36,154.98,154.820189905047476261,10005,299,1548976.00,7633,76.29,0.99,0.33
15-June-2026,154.84,155.91,154.40,154.65,155.123346542389909024,17917,594,2779345.00,14800,82.60,1.51,-0.19
12-June-2026,155.60,155.60,153.29,154.59,154.328268530822115662,17309,298,2671268.00,14262,82.40,2.31,-1.01
11-June-2026,153.69,155.72,153.31,155.12,155.074285714285714285,8050,355,1248348.00,7223,89.73,2.41,1.43
10-June-2026,156.00,156.00,154.17,154.86,155.132536664856056491,9205,337,1427995.00,6391,69.43,1.83,-1.14
9-June-2026,155.75,156.35,155.01,155.61,155.592055485498108448,9516,424,1480614.00,6620,69.57,1.34,-0.14
8-June-2026,155.70,156.68,154.80,156.64,155.918731021256193063,12514,813,1951167.00,8011,64.02,1.88,0.94
5-June-2026,155.00,155.89,154.25,155.45,155.063719568853372979,172192,479,26700732.00,169855,98.64,1.64,0.45
4-June-2026,153.20,155.40,153.18,154.93,154.334731474627847684,12159,679,1876556.00,10009,82.32,2.22,1.73
3-June-2026,155.00,155.19,153.90,154.94,154.457773077504154706,6619,335,1022356.00,5760,87.02,1.29,-0.06
2-June-2026,154.50,155.73,154.00,154.88,154.797621878715814506,12615,401,1952772.00,9420,74.67,1.73,0.38
1-June-2026,156.94,156.94,154.47,154.71,155.438882991753082387,12247,757,1903660.00,8890,72.59,2.47,-2.23
29-May-2026,159.80,159.80,154.50,155.07,155.614920629187510158,110746,1201,17233730.00,101782,91.91,5.30,-4.73
27-May-2026,157.00,157.01,155.46,156.26,156.045777742270512103,12517,481,1953225.00,9660,77.18,1.55,-0.74
26-May-2026,158.13,158.13,156.24,156.74,156.860545335085413929,30440,362,4774835.00,29353,96.43,1.89,-1.39
25-May-2026,156.86,158.50,156.86,157.95,157.896314956417058653,44857,518,7082755.00,38848,86.60,1.64,1.09
22-May-2026,156.00,156.90,155.62,156.68,156.551219512195121951,2665,233,417209.00,2039,76.51,1.28,0.68
21-May-2026,157.50,158.36,155.00,155.76,155.985541691424044365,10098,520,1575142.00,7030,69.62,3.36,-1.74
20-May-2026,158.70,158.70,155.13,156.12,156.370378378378378378,13875,443,2169639.00,10349,74.59,3.57,-2.58
19-May-2026,156.00,157.18,154.58,157.05,155.156439980364762300,26483,788,4109008.00,15442,58.31,2.60,1.05
18-May-2026,154.30,156.00,152.48,155.56,153.704610041048310704,19002,640,2920695.00,14631,77.00,3.52,1.26
15-May-2026,158.00,158.50,154.15,155.37,156.693653516295025728,11660,744,1827048.00,9032,77.46,4.35,-2.63
14-May-2026,160.00,160.21,158.29,159.45,159.578310940499040307,5210,262,831403.00,4209,80.79,1.92,-0.55
13-May-2026,157.00,160.00,156.19,159.82,157.774215630347974900,17530,421,2765782.00,14332,81.76,3.81,2.82
12-May-2026,158.80,158.80,156.31,157.53,157.393875313283208020,12768,420,2009605.00,9292,72.78,2.49,-1.27
11-May-2026,157.39,158.06,156.21,157.67,157.472785586265446655,10601,372,1669369.00,8715,82.21,1.85,0.28
8-May-2026,155.33,157.49,154.37,156.83,155.745686421605401350,9331,395,1453263.00,6989,74.90,3.12,1.50
7-May-2026,154.60,155.82,154.06,154.71,154.487200919444154215,19142,1117,2957194.00,15176,79.28,1.76,0.11
6-May-2026,158.40,158.40,155.30,155.92,156.333934061274249973,9433,594,1474698.00,5996,63.56,3.10,-2.48
5-May-2026,157.92,158.22,156.64,157.54,157.501488587495865034,6046,401,952254.00,4774,78.96,1.58,-0.38
4-May-2026,155.10,158.09,155.10,157.12,157.010622254278407973,15251,829,2394569.00,12541,82.23,2.99,2.02
30-April-2026,156.16,158.13,155.00,155.30,156.205853658536585365,8200,505,1280888.00,7189,87.67,3.13,-0.86
29-April-2026,158.70,158.70,156.15,156.38,156.892372253764502591,4051,224,635571.00,2297,56.70,2.55,-2.32
28-April-2026,158.30,158.87,157.59,157.89,158.213525835866261398,7896,404,1249254.00,6589,83.45,1.28,-0.41
27-April-2026,153.65,158.00,153.65,157.33,156.189798921039725355,79521,427,12420369.00,77989,98.07,4.35,3.68
24-April-2026,155.25,156.00,153.11,154.79,154.447980139923267885,8862,653,1368718.00,6087,68.69,2.89,-0.46
23-April-2026,155.55,158.20,154.18,155.09,156.350757472362494881,7327,699,1145582.00,5652,77.14,4.02,-0.46
22-April-2026,159.00,159.00,157.00,157.45,158.121039412673879443,10352,292,1636869.00,8917,86.14,2.00,-1.55
21-April-2026,156.64,158.49,156.50,157.18,157.591748099891422366,5526,448,870852.00,3749,67.84,1.99,0.54
20-April-2026,158.70,158.70,156.21,157.98,157.435665460394049055,9948,705,1566170.00,8020,80.62,2.49,-0.72
17-April-2026,157.00,158.61,157.00,157.91,158.092665541174263740,5331,390,842792.00,3767,70.66,1.61,0.91
16-April-2026,157.27,159.30,157.26,157.94,158.248960739030023094,12990,676,2055654.00,9169,70.58,2.04,0.67
15-April-2026,157.00,158.95,156.12,157.00,157.349972206781545302,8995,507,1415363.00,6090,67.70,2.83,0.00
13-April-2026,156.03,158.96,155.48,157.05,157.599408777381944970,13193,776,2079209.00,7620,57.76,3.48,1.02
10-April-2026,156.50,159.89,156.50,157.79,158.735149557646397977,7121,514,1130353.00,3357,47.14,3.39,1.29
9-April-2026,154.20,158.71,154.20,157.48,156.828269163126707973,36959,946,5796216.00,34142,92.38,4.51,3.28
8-April-2026,151.70,156.00,151.70,155.29,154.519588545545743338,263164,740,40663993.00,259311,98.54,4.30,3.59
7-April-2026,153.00,154.75,151.16,151.69,152.588115406661996051,15701,820,2395786.00,14364,91.48,3.59,-1.31
6-April-2026,150.21,156.82,150.21,153.01,153.740098171970209884,11816,829,1816593.00,3471,29.38,6.61,2.80
2-April-2026,152.95,153.59,150.75,150.94,151.862506416367236195,13637,443,2070949.00,11938,87.54,2.84,-2.01
1-April-2026,151.25,154.90,150.69,151.83,153.418343067272333982,27738,694,4255518.00,18799,67.77,4.21,0.58
30-March-2026,150.99,153.04,150.00,150.69,150.804158415841584158,25250,594,3807805.00,19998,79.20,3.04,-0.30
27-March-2026,156.99,156.99,150.20,150.40,152.791475679003899568,14617,801,2233353.00,11188,76.54,6.79,-6.59
25-March-2026,153.70,157.00,152.00,155.36,154.598469778117827084,6535,330,1010301.00,4387,67.13,5.00,1.66
24-March-2026,152.95,153.64,150.27,152.67,152.250190017734988598,7894,391,1201863.00,5031,63.73,3.37,-0.28
23-March-2026,156.00,156.00,150.50,151.97,152.730882236162947669,12593,519,1923340.00,10331,82.04,5.50,-4.03
20-March-2026,155.06,157.79,153.50,154.51,155.173949379178605539,8376,371,1299737.00,4912,58.64,4.29,-0.55
19-March-2026,159.00,159.05,155.00,155.76,155.851112997547632522,21204,550,3304667.00,17625,83.12,4.05,-3.24
18-March-2026,154.50,159.72,154.50,159.38,157.671495898062489090,11458,373,1806600.00,6500,56.73,5.22,4.88
17-March-2026,155.29,156.00,152.71,155.94,153.550782129191987395,213264,362,32746854.00,211918,99.37,3.29,0.65
16-March-2026,155.06,156.13,152.39,154.03,154.505273902687989111,11756,439,1816364.00,8009,68.13,3.74,-1.03
13-March-2026,155.75,156.59,152.66,155.21,154.121458989076097019,27005,304,4162050.00,22264,82.44,3.93,-0.54
12-March-2026,156.00,156.12,153.10,155.13,154.852701533979698666,21969,320,3401959.00,19823,90.23,3.02,-0.87
